ID,2b_ACSF,2b_APV,2a_ACSF,2a_APV
1,19.63997,6.9558,17.75464,15.71504
2,18.37767,9.532212,18.99275,14.5827
3,18.8571,15.41337,6.450392,7.607287
4,15.58707,8.833228,14.97827,17.54822
5,16.39175,11.88266,9.595123,11.35783
